companyName,company_starRating,company_offeredRole,company_roleLocation,headquarters,size,type,revenue,listing_jobDesc,requested_url,,POSTE
Banque Populaire Auvergne Rhône Alpes,3.9,DATA SCIENTIST (H/F) Corenc (38),Corenc,"Lyon, France",1001 to 5000 Employees,Company - Private,Unknown / Non-Applicable,"Description de l'entreprise
Vous souhaitez travailler au sein d'une banque performante, engagée et ancrée sur son territoire ? La Banque Populaire Auvergne Rhône Alpes, banque régionale et coopérative, est un acteur majeur sur son territoire. Appartenant au 2ème Groupe bancaire français, elle a su construire son développement en mettant au cœur de la relation client ses valeurs de proximité, de réactivité et d’innovation. Nous recrutons pour notre service Décisionnel et Tableaux de Bords, un DATA SCIENTIST , en CDI.
Poste et missions
Rattaché(e) au Responsable du service Data management et IA, vos missions seront : Vos missions principales consistent à : • Accompagner la mise en place d’une cellule data science & IA • Transformer en problématiques data des problématiques métiers (commercial, marketing, middle/back office, RH, risques, finances, …) • Mettre en place, réaliser, accompagner, déployer et industrialiser les études et projets d’analyse de données, de data science et d’Intelligence Artificielle. A ce titre, vous prendrez en charge de : • Analyser les besoins métier et les traduire en cas d’usage de data analyse ou data science • Définir et animer la gestion de ces projets • Réaliser ou faire réaliser par la cellule datascience & IA (composée de prestataires, alternants et/ou stagiaires et des data analysts issus d’autres équipes) les analyses ou modèles nécessaires aux projets ; puis en tester les résultats pour décision de déploiement • Piloter le déploiement, l’industrialisation et le maintien de la performance des modèles • Suivre et valoriser les résultats et la valeur apportée • Assurer la mise en place, l’ingénierie, l’administration et la veille sur les méthodes et moyens techniques nécessaires • Contribuer à l’acculturation des directions métiers sur la data science. Autonome, communicant et rigoureux, vous serez force de proposition sur les changements et nouveautés. Vous serez en interaction permanente avec les métiers bancaires. Dans une démarche d’amélioration continue, vous participerez à des projets transverses au sein du département ou de la banque. Vos actions et conseils s’inscrivent dans le cadre règlementaire et normatif du Groupe BPCE, tant d’un point de vue sécurité des systèmes d’information que conformité, RGPD et éthique. Le poste implique également une compréhension et une traduction fonctionnelle des activités et processus bancaires, une connaissance générale des produits et services bancaires serait donc un plus.
Profil et compétences requises
Niveau d’études et spécialisation souhaités : • BAC + 5 minimum en informatique • Expérience nécessaire en data science d’au moins 3 ans
Informations complémentaires sur le poste
Motivé(e) par les challenges et la réussite collective, votre dynamisme et votre implication vous permettront d’évoluer au sein de la Banque Populaire Auvergne Rhône Alpes. Si vous souhaitez donner une nouvelle orientation à votre parcours professionnel et révéler votre talent, faites nous part de votre candidature.Show more Report",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1110586&s=58&guid=00000188e3c4a27b9ad4045c6ec87855&src=GD_JOB_AD&t=SR&vt=w&cs=1_de37cda9&cb=1687448495048&jobListingId=1008681904153&cpc=451933188B21919D&jrtk=3-0-1h3hs98l6ihne801-1h3hs98lnghpq800-dbc88d6ee895a7c2--6NYlbfkN0C1eNVNxY1OvmmiUwkSgC6aOcjCCF40yQOokeRD8W5MufKh8M9phogXkh9ab3THGOKKSekg2qbHwDr_WInBE5fxgn7ADEDcPVKmEQrJskjqpMdJBT4vJ7THWfIcobaZ6LBe61RmWbRWLJZ9Qx0iFCsXZoRr8Yzsb4mytqpgqMvegQrrNJzHy6M8yoU-OVF5ugyca9kvrCJ4RgYuS0ni_oqh3kp0oGsdpHdIRTxGqur9L-5snyMnUUjPCoBdEfMz6a1RrCHf3BciMHSVb7_ADSpLaEp9n0vn3UPLIrU78Yte_7LiJRKcX7ZJp7vl57IX_qkLft79KSe63NgCqZaX6E5VwCl6b0swAfskdlxh6eZO5LGjdiojxn0UhAaTxZdw8OY39snzFJ1YcM0Z84HzRsvnHYavNV6Rj5GonIhrvKXaP4E36Z_2TLMf2nSddiRb3OvYM-oC6GBnE8H5J8nlxjt13n3yOsGy25M-AlUu_rLsWgqCPCjmQVM8Gr0iMdKknw-QmuN0t7y-snTuoKvVrOtlc_jxRoDQtkhqkXrXMTKZG-4xhv0Ey1VKyZSbdbOpQdm7kLPq4BfcX5h8Wf-wW6pd82LczClfnK5yKl47LcuavFhl_xJ6Q6Q0,,DATA SCIENTIST
NA,NA,Data scientist,Marseille,"Marseille, France",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,"Explorer les données structurées et nettoyer les données non structurées.-Formaliser les problèmes et proposer des solutions théoriques. Intégrer les données dans une base SQL, et travailler sur différentes requêtes. Proposer des tableaux de pilotage préventif, via des outils de Data Visualisation. Compétence en programmation (R Studio-Python). Appétence pour les problématiques ""Big Data"", nettoyage et automatisation de la transformation des données. Connaissance des outils de Data Visualisation Analytique (à l'aise avec les chiffres, excellente maîtrise d’Excel) Rigoureux/-se et avec une forte capacité d'organisation Envie d’apprendre et d'avoir de grandes responsabilités Autonome, esprit d’initiative, enthousiaste",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=00000188e3c4a27b9ad4045c6ec87855&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4e7f7640&cb=1687448495049&jobListingId=1008718145154&jrtk=3-0-1h3hs98l6ihne801-1h3hs98lnghpq800-ee12a9578fddfc7a-,,DATA SCIENTIST
Société Générale,3.6,Data scientist-(H/F),Paris,"Paris, France",10000+ Employees,Company - Private,$10+ billion (USD),"Comprendre les besoins du projet que vous aurez à mener pour les traduire en termes de problématiques ""Data"" et proposer des solutions opérationnelles Identifier et Participer à la collecte les données requises, en conformité avec les règles de sécurité de l’information Mener des travaux Data Science en accord avec les besoins du projet Présenter les résultats des analyses Mener une veille technologique et un partage d'expérience sur les sujets de Data Science tout en prenant part aux activités de recherche menées par le Data Lab Vous êtes étudiant de niveau Bac+4/5 en Ecole d’ingénieur, Master spécialisé, Master informatique ou Université dans le domaine de la Data Science. Vous maîtrisez les méthodes de Data Science (NLP, Machine Learning, Deep Learning, etc.) et les langages de programmation utilisés dans l’analyse de données (Python, R, SQL, etc.) avec, dans l'idéal, des connaissances de l'environnement HADOOP/SPARK. Vous êtes curieux(se), passionné(e), rigoureux(se), avec des capacités d’analyse et de synthèse. Vous aimez relever des challenges et vous avez le sens du travail en équipe. You're fluent in English ?",https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=00000188e3c4a27b9ad4045c6ec87855&src=GD_JOB_AD&t=SR&vt=w&cs=1_a5dca6bf&cb=1687448495049&jobListingId=1008458716524&jrtk=3-0-1h3hs98l6ihne801-1h3hs98lnghpq800-f2927ea0541be871-,,DATA SCIENTIST
EURO-INFORMATION DEVELOPPEMENTS,4.2,Data engineer - analyste développeur (H/F),Strasbourg,"Strasbourg, France",10000+ Employees,Company - Public,Unknown / Non-Applicable,"
L’accompagnement de tous par notre organisation coopérative et mutualiste reste au cœur de notre ADN. 
La technologie au service de l’humain est une référence dans notre monde connecté. 
La solidarité et l’éco-responsabilité deviennent des axes clés dans notre développement. 
Concevoir et rédiger des spécifications fonctionnelles, applicatives, et techniques 
Développer des applications intranet d’exploration et de restitution de données 
Modéliser les données de nos solutions dans le système d’information Décisionnel du groupe 
Créer des dashboard et apporter du support aux autres équipes 
Organiser la recette des solutions applicatives, gérer les demandes d’évolution, suivre la production 
Travailler en mode projet dans le respect du Système de Management de la Qualité 
Télétravail (1 à 2 jours par semaine) 
Rémunération fixe versée sur 13 mois 
RTT 
Intéressement, participation et abondement 
Plan épargne entreprise et PERCO 
Contrat de santé collectif 
Prévoyance 
Retraite supplémentaire prise en charge à 100% par l’employeur 
Conditions bancaires et assurances préférentielles 
Politique parentale avantageuse",https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1110586&s=58&guid=00000188e3c4a27b9ad4045c6ec87855&src=GD_JOB_AD&t=SR&vt=w&cs=1_7e69f3fa&cb=1687448495049&jobListingId=1008458319916&cpc=7F6F94E2229B3AB5&jrtk=3-0-1h3hs98l6ihne801-1h3hs98lnghpq800-1368656daa1e9094--6NYlbfkN0BkX6x_KDzU5cVhaJujbQSv-MpOfS5CSZEJMKysooIe0IxdpkVhketXUf4OSLHMCUnOJ9nVHBMjyBuQ1tJT-KyJ9RBQZ2mSvbyXED4wCXyWtEm76-g0xIcQIq1UqGTwKT6RgxHyCc42xDVG-Wl2vLjTLMThAh_EzbTWOfHDwP37SzxFN3dV6wCMgEVllWggKHBExOLQ55Y-Zpuf5pjgmiReLNjDqK5vGdOjvTOeNzlDP73MCGtP_kK23iLMTEJFu4ZEkcCHZz8IWqypF3drtdAuyX3IkkWBlRakpAULcoLVB8HeDByWM8jUDeHRAO9myS7Qe0GHd_1qoccOJKYmAYjFJIZM8LQZi9jtKMjUc1GNUptOh3VA_e-oT32fP6v2nSZOrRJQMMWxWR-5II-DLMWLvFAzTmn6RMOX41ccE8zS3BPTC929f_fbYhfQNrBFU4dCQlzMHnccGC-GZ3Ob5pmrEjr6fA6N1pgZBeRPmCnwRraAuUKr-bVGFt72NhKp_DhR5wMqoQ_aiouz6zhkZkFHWy-hkfryq6VL6_dygYodEjyw3rHdt1MvE_Ez5mlt_Gt31Io3p9bqbh-v4DTmMPEZ,,DATA SCIENTIST
AFTERDATA,5,Stage/Alternance - Data scientist - Développeur Python | Startup Fintech,Paris,"Paris, France",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,"Détection de fraude dans le milieu bancaire : abus de marché, blanchiment d'argent, financement du terrorisme Participez à nos projets pour nos clients banques et assurances : ateliers métier, ateliers data, intégration du logiciel AfterData. Participer à la préparation des données client, données de marché Evaluer des scénarios de détection d'abus de marché et les modèles de machine learning. Développer de nouveaux algorithmes de détection de fraude Monter en compétence dans le domaine des données financières Participer à l'évolution de la brique technologique AfterData Vous participez ponctuellement à nos projets de marketing prédictif Bac+5, diplôme ingénieur ou Master 2 en cours Passionné(e) de nouvelles technologies et curieux(se) Conscient(e) des enjeux clients, terre à terre Vous maîtrisez le langage Python, en particulier la librairie Pandas Vous connaissez les principes du Machine Learning, principaux modèles et leurs usages. Bonne capacité à faire le lien entre un jeu de données et sa signification dans le monde réel ! Vous savez faire preuve de créativité. Stage de fin d'études ou alternance Début : Septembre/Octobre 2023 Alternance : 1 an Stage : 6 mois Tickets restaurants, mutuelle, pass navigo… Paris 13, métro Chevaleret Mix télétravail et bureau Prise en charge du transport quotidien Titre-restaurant Du lundi au vendredi Bac +5 (Master / MBA) (Exigé)",https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1110586&s=58&guid=00000188e3c4a27b9ad4045c6ec87855&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_95d1ee1f&cb=1687448495049&jobListingId=1008696508723&cpc=451933188B21919D&jrtk=3-0-1h3hs98l6ihne801-1h3hs98lnghpq800-9b92d4e773a5f4f6--6NYlbfkN0ChyNGFAu8bUmm4O1XJcjfgVWrrSPaf7fiUnLK0jtl3u7F9wk-jz2FnVIurcYz9RPb7wnVULMQB6XW3EP1iTPUcGOkZhEXxdssslNYRu_FG6-cZTqLjdZtEzi3nDxEQL0V6TsqRdH-V8F6QVGF1JhGHXlYMDdHO8e4yZQz6R3oLG09XvvujydQLiCGty40CRWQku4HPxwZoxn7XAC3jmBK3ETt46fxq7KFvSWtx-MNrPwOjJmRB5rKs1fRZUs1919jopWUzYjFw93xh_b1eZVDQMVVdZvRaQJzbopzUpL7bivJS4HC54UyzK5CdbuP-7jN-7V5ATowFyww19lmTDEwcOCSLuGI7dBjtYF8Hcxd2uVYzuEiikyFYzAefPdIoL9lW-fQvmEbyhwbItJgVoaG3DC9g0m9WETNl7sEFCzBd0E1o3flJSCfvNB6ENfYKwjRv45bjzZwnG-P6D3gHyJubdmXzffZmOsDYOSTf8PJ7E0BPLjmDPGqLN6mf2AZdvzU5TA8yI2TmEMwAFZuW3HTU72MnpWud4GTkz0vjYeZsIdYaSUvvPKVLyf9woXdkRAeRSeG8313_DzFu6mFCWLZkQwUBYow6Wrnu8RWW0aPVHja-Kgq5c19Ptab8ZiiYvyhF_JyOOiya2g%3D%3D,,DATA SCIENTIST
Emérique & Partners,1,Data Scientist - Banque,Paris,"London, United Kingdom",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,"Bac +5 écoles, université (spécialisation : Statistiques, Datascience, Mathématiques appliqués, etc...),
 Minimum de 3 ans d'expérience professionnelle en Data Science
 Idéalement nous recherchons un candidat ayant une expérience en Data Science dans le milieu bancaire. Néanmoins, une première expérience dans le domaine de la Data science OU au moins une formation/certification en Data Science avec une expérience actuelle ou passée en milieu bancaire est fortement appréciée.
 Python, R,
 Anglais professionnel indispensable,
",https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1110586&s=58&guid=00000188e3c4a27b9ad4045c6ec87855&src=GD_JOB_AD&t=SR&vt=w&cs=1_299cf33b&cb=1687448495048&jobListingId=1008653438657&cpc=451933188B21919D&jrtk=3-0-1h3hs98l6ihne801-1h3hs98lnghpq800-77a1d47bef976494--6NYlbfkN0Bj-xBWVmzs7UIwFa-9Zm6MwNuQFkwLehssDYDaWnvIcfjKVL75wTjLDL2MOrLcYaDILUHxHrwXZG_ExmFlvBgB9TL87XHj1ycxD6uwslyoE6W5I9Cv3mNBGftsCrAx1HberuNXTwtvfd45lcjI-8tf8QNHEZ29n0jJUVa1duN5Mb7rAtGUlBhB-Rb5DaqrBWTUb8vBB7xpTlQvgBpUVb6qnZZ4dbrAut76apsg9Nm8ZTahSUQmLWwBrEwor1UJ4V8BwarNQc71CAVOnsRsjzvJTPnj2s7UKXESzkC67qZDtb6kv7xbtZbJXJ64do3HT_fCUILq0jYaLLgDaFZNRodB_LMBl_YnTfRpk6WOnBJTIvkIg80t1VCRGMMgH5WAvCtL0IO8QXNJ9ypbFwn-IdBIxI1WILY2Unp4M-DwWAF_W8p4ZICdbYKh9QbUZWKGDCYhD9MKL246lDqjyafnbiavvzSkBKophAuW3zpbGxecG3B6npA5zqA4SIxqjrYUq04VlJ7iUg5u502mMhBAEm9iSlsjZ8Lr9G_2QJgBw-LMaeP1hFYOhBHfpXkG74r6iZyhGklFKG_uBXwBrIcw_vJdtVj7bM0pB4zz3MHDfLNQwQYPYb3k_Xdl4R6w9dgXKag6yMHU5Ip7Nq8qFYeNgPDTexxQxh9e89z28x1CA_42pAciT3qYWVxQ4VXRXb_EQ0HofT_Z4j_280tmFJc8zYHQ,,DATA SCIENTIST
Publicis Sapient,3.7,Data Analyst (H/F) - Alternance,Paris,"Boston, MA",10000+ Employees,Company - Public,Unknown / Non-Applicable,"
Sur la compréhension fonctionnelle de leurs projets, au travers d’ateliers de spécification, mais aussi d’itérations successives sur les analyses menées 
Vous mènerez des études basées sur la data afin de concevoir, proposer et présenter les meilleures solutions pour mener à bien leurs projets et faciliter la prise de décision 
Vous développerez avec méthode et documentation ces projets, jusqu’à leur industrialisation opérationnelle et le support nécessaire à la vie du produit 
En interne, vous contribuerez à la veille collective et à l’émulation commune, lors de nos journées de partage, à la rédaction d’articles, ou à la participation à des projets internes. 
Vous préparez votre Master 2 orienté BI/Data analytics, démarrant en septembre 2023 
Idéalement, vous disposez d'un rythme de 4 jours en entreprise / 1 jour à l'école, ou 3 semaines en entreprise / 1 semaine à l'école 
Vous parlez anglais couramment 
Data visualisation : Vous avez eu une première expérience sur une ou plusieurs des solutions de data visualisation suivantes : PowerBI, Looker Studio, Tableau 
Web Analytics : vous avez eu une première expérience avec un outil de Web Analytics (Google Analytics 4, Adobe Analytics…) et idéalement avec un outil de Tag Management System (Google Tag Manager, Matomo, Tealium…) 
Cloud : Vous avez idéalement une connaissance des provider(s) cloud et sa/leur stack data : AWS (S3, Glue, …), GCP (Cloud Storage, Big Query, Cloud SQL, …), Azure (ADLS, Synapse, Stream Analytics) 
Coding : pour mener vos analyses à bien, vous avez idéalement une connaissance d’au moins un des langages suivants : SQL, Python, Dax (PowerBI) 
Vous êtes intéressé(e) par les sujets autour de l’IA : Large Language Models (LLM), modèles de prédiction, impacts sociétaux et environnementaux 
Vous êtes force de proposition, vous travaillez avec exigence de qualité, ouverture et bienveillance. Vous êtes curieux(se) et avez une capacité créative pour résoudre des problèmes. 
Vous êtes à l’aise à l’oral ou souhaitez développer la posture conseil auprès d’un client. 
Une structure en croissance, avec une histoire forte et adossée à un groupe du CAC40 qui, par sa puissance, donne l’élan nécessaire à chacun pour se développer 
Un environnement de travail multiculturel et international 
Un accès à de nombreuses formations, certifications, e-learning accessibles gratuitement, coachings, communautés de pratiques 
Une organisation du travail hybride (télétravail/présentiel) 
Un plan de développement de carrière individualisé, suivi par un people manager 
Des moments de rencontre (un séminaire et une soirée annuels, session d’intégration sur 4 jours, Halloween, Noël des enfants…).",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000188e3c4a27b9ad4045c6ec87855&src=GD_JOB_AD&t=SR&vt=w&cs=1_ec3e8851&cb=1687448495046&jobListingId=1008652338230&cpc=18C664983486888D&jrtk=3-0-1h3hs98l6ihne801-1h3hs98lnghpq800-6c9178f7c9dfca40--6NYlbfkN0AifcpeK-Nu936wgy-BS7owxv6Q_YD1znLiY0Ck5crXdLSxeB8Ut6s_xunCPWzg_jnUVCx3T_yI7BSE0LuuABYCLYTZ7BWXjE6WG-LSGBf1PYZHubmce9lw4-VpFvRpSS04xYRWlGQKdHJNAr0TJv2OYJFMNhGgKyRTpn1yRk-9httvwMWFrSctUWSGlIPK_Scli0UjyW1CF9uruD8AFwqtfn6hc6UNBF13D1tsPE4ac55g0MfystlU4cJgnB9rHcgwizbpVkigC7OdSi-jAcRVMZ82eYkoe5HTFtd1sjWojr-yTZIhTNZUOCrpOiB1NM3h39_d7fdPcjDXt6ttLh4-1sNrh3fizMp4SOmJgCD-OytFNa9jjrECyZpL17qQKjxVv7DqWl-o8yTYEvjc91kHK0E71lgWqZZGdyBEvUEL3m2zJr2IBkQUFsedZCUOFot5jppSxwOYLKOR0hEmqb4G7Kj0RRm4dkD7wXyvC5QIlT6bvAg3Fqb9fEVHTzoS5TJ9VAT0IpNDKHqKwOLazQ6S7qjBpP5QwSkBwwLaww8ynOvXHq3SiX1HJDd-XCG3ZRg4OeNq1uTTHhSHfpOFeL7Kxu0IUh4HsX-jfmsM_1bES_UhboCro8_a9PiXlhtXDIeJKFlhVMVCKBe2qF77sRA79_VgI9_w7Y65pWo44uZKYfayucZPErYcm5IDL4J1rLs%3D,,DATA SCIENTIST
Louis Vuitton,3.5,DATA SCIENTIST (F/H),Paris,"Paris, France",10000+ Employees,Subsidiary or Business Segment,$10+ billion (USD),"Définir et déployer de nouvelles approches, exploitant la richesse des données et la puissance des technologies associées, pour répondre aux problématiques des équipes en zones : Amériques, Chine, Japon, Europe, Asie du Sud et Asie du Nord Collaborer au quotidien avec les équipes sur leurs besoins et construire des algorithmes prêts à exploités afin de nourrir leurs enjeux business et d’expérience clients notamment Assurer toutes les étapes des projets data science : cadrage et pilotage, mise en œuvre, développement et exploitation, adoption et engagement Accompagner les équipes business dans l’exploitation des outils mis en place pour servir leurs enjeux et leur permettre d’agir de plus en plus en autonomie Assurer la gouvernance des projets Data Science selon les principes définis Monitorer, maintenir et améliorer les modèles et les outils mis en place De formation Bac+5 en école d'ingénieur ou PhD en data science, statistiques, économétrie, machine learning, intelligence artificielle A partir de 3 ans d'expérience Maitrise des principales techniques statistiques, des modèles descriptifs et prédictifs, les algorithmes de machine learning Forte expertise dans l’analyse des bases de données volumineuses, complexes, dans des environnements distribués Maîtrise des langages Python et SQL et/ou d’un outil de data science, type Dataiku Esprit collaboratif, facilitateur, et orienté business Flexibilité et agilité dans la gestion de projet Pour travailler dans une entreprise en forte croissance et devenir vous aussi un acteur de cette réussite. Pour travailler en plein cœur de Paris, dans le 1er arrondissement. Pour grandir et bénéficier d’un suivi RH personnalisé tout au long de votre carrière.",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=00000188e3c4a27b9ad4045c6ec87855&src=GD_JOB_AD&t=SR&vt=w&cs=1_25d50458&cb=1687448495048&jobListingId=1008626461264&jrtk=3-0-1h3hs98l6ihne801-1h3hs98lnghpq800-4ff9ff31cc2e42b9-,,DATA SCIENTIST
Inetum,3.3,Data Analyst H/F,Lille,"Saint-Ouen, France",10000+ Employees,Company - Private,$1 to $5 billion (USD),"Analyser et retranscrire le besoin client Identifier, extraire et exploiter les sources d'acquisition de données les plus pertinentes Valoriser de la donnée Développer l'outil de data visualisation pour accompagner les équipes métiers dans leurs aides à la décision Être le lien entre les équipes métier pour les accompagner dans la mise en œuvre des nouveaux outils parler SQL couramment un niveau avancé sur Excel et/ou Google Spreadsheet une maîtrise d'un outil décisionnel comme PowerBI, Qlik, Tableau ou encore Google Data Studio Rejoindre la région Nord-Est, c’est bénéficier des avantages d’un Grand Groupe tout en gardant la proximité régionale. Nous mettrons tout en œuvre pour vous apporter un équilibre vie perso / vie pro. C’est pourquoi nous vous proposons un rythme hybride (selon les contraintes clients) Une trajectoire de carrière personnalisée et adaptée à vos souhaits d'évolution grâce à une implantation à l’international (26 pays, 7 Fablab), des formations ciblées et des projets couvrant l’ensemble de la chaîne de valeur IT (+25 filières métiers) Intégrer un collectif d’experts partageant des valeurs de solidarité et d’excellence Intégrer une entreprise ayant une stratégie affirmée de certifications de ses collaborateurs",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000188e3c4a27b9ad4045c6ec87855&src=GD_JOB_AD&t=SR&vt=w&cs=1_18b7e765&cb=1687448495047&jobListingId=1008510949499&cpc=84DBBAA61F05C438&jrtk=3-0-1h3hs98l6ihne801-1h3hs98lnghpq800-fe012beb98a5e5cb--6NYlbfkN0AtlyBPEQhAuRd56xX_T6euEvf7RD2heIiSc2ROf662R9rIpLEH3T-hKXQs2dCb4KGhpVN0Vy11tsXZyx9eXNyO6z5ySyL2Y5nELK96nE74U18KnIn4FTUYstA7B6aWUHtO63n6GdxMQJs4BJNGVg2c2EJ_K74eMWsrREKfFkpcSc-p_Y2hfHuhl5duhxX3HiNtWxMQjQJBCD-rTrllwr3MP9epvpUiUdBkCEba6gx_qR4MEDMFo6KsZjtR7ZAyelxID6Bo_YfB5zOk5DLLIX0Y0K7pUw9_s7qcznpeul_GH4DGxd9sLY-5QGh2SFGdpNQHg56tidleqwGctshD2NUcGa_9cRwFWqVGokh0NNHgfH5Ar5nNds37VWloKCAyrV6evu9BmLSKay34lxoaIx8ZL8Tsi51dRetxvXk5X1LpziW1MiN37HJx3-W1qnYNFOih_gxiIzzPyYUbm1z1JVC5VxSvyRwCkQP6AptHr_yVh64F37FN00LuOoCtnSRLyNfokkrvZiIf6S2ouv16CWP-eMEAyz2xJVIYZeq3BoaS_KRCSgBsNFbdsXc_JK-Ar2rzC89jzYS2BA%3D%3D,,DATA SCIENTIST
Crédit Agricole Assurances,3.7,Data Scientist H/F,Paris,"Paris, France",Unknown,Company - Private,Unknown / Non-Applicable,"Stabilisation de la plateforme de production data Science de CAA et exploitation via des cas d'usage Prise en main des méthodologies de Data Science en Machine Learning et en Deep Learning (apporter son expertise sur les outils déjà existants, et développement de nouveaux moteurs d’IA) Accompagnement de l’IA Engineer dans la mise en production des moteurs d’IA Mise en place du RUN : monitoring des modèles et réapprentissage des moteurs d’IA Prédiction des anomalies dans l’infocentre avec de l’IA (XGB / réseaux de neurones). Des modèles supervisés et non supervisés sur de la donnée structurée Analyse de texte libre pour comprendre l’intention des questions dans l’outil de remonté des interrogations des Caisses régionales vers CAA (Topic Modeling, TFIDF, etc) Traitement automatiques des documents (OCR, Computer Vision, NLP) : Surveillance des comportements clients ""anormaux"" (RNNS, XGB) Détection de Fraude à l’assurance Business analytics pour les filiales internationales (XGB) Interagir avec l’ensemble des filiales de CAA pour récolter les besoins et définir les cas d’usage. Mener des développements R&D au sein des projets, qui sont ensuite partagés dans l'équipe. Participer à la vie de la communauté Data Science dans le groupe Crédit Agricole Assurance. Participer à la veille technologique en Data Science et échanger avec le DataLab groupe CASA.",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=00000188e3c4a27b9ad4045c6ec87855&src=GD_JOB_AD&t=SR&vt=w&cs=1_fb21ac5c&cb=1687448495049&jobListingId=1008715722330&jrtk=3-0-1h3hs98l6ihne801-1h3hs98lnghpq800-ab4ee9fc874a9845-,,DATA SCIENTIST
Air France-KLM,4,Data Scientist / Machine Learning Engineer H/F,Roissy-en-France,"Roissy-en-France, France",10000+ Employees,Company - Private,$5 to $10 billion (USD),"
Master ou Doctorat en Systèmes informatiques, Mathématiques appliquées, Recherche Opérationnelle, Data Science ou équivalent 
Vous avez une bonne connaissance des techniques de machine learning 
Vous maîtrisez Python 
Vous êtes autonome, rigoureux(se), responsable et curieux(se), et aimez travailler en équipe 
Vous possédez de bonnes capacités d'analyse, de synthèse et de communication 
Vous parlez couramment Français et Anglais 
Vous avez de l’expérience avec les librairies scikit-learn, Tensorflow, Spark 
Vous avez des notions de MLOps, CI/CD (Kubernetes, Docker, GCP, Airflow, REST API) 
De la création de valeur pour l’ensemble des métiers d’Air France KLM 
Des challenges et problématiques complexes à résoudre et l’opportunité de déployer du machine learning industriel dans un environnement Cloud ! 
Une grande part de responsabilité dans une structure hiérarchique horizontale 
Un important degré de liberté pour apprendre et développer son expertise grâce aux formations internes de l’équipe Tech et Innovation. 
Une équipe dynamique, animée par la motivation et la bienveillance 
Télétravail possible (2 à 3 jours par semaine) 
Des réductions sur les billets d’avions (à partir de 6 mois d’ancienneté) 
Vous intégrerez le cursus NextGen, qui permet de découvrir les différents services et métiers de l’entreprise (visite du centre de contrôle, des pistes d’aéroport, échanges avec le personnel navigant…) et participer à des événements qui vous permettent de tisser des liens avec les autres jeunes salariés de l’entreprise et développer votre réseau.",https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=00000188e3c4a27b9ad4045c6ec87855&src=GD_JOB_AD&t=SR&vt=w&cs=1_55acd6bd&cb=1687448495049&jobListingId=1008600061117&jrtk=3-0-1h3hs98l6ihne801-1h3hs98lnghpq800-4bce3767aeb38c94-,,DATA SCIENTIST
